Sample2,,denaturata 1M,,denaturata 2M,,denaturata 4M,,denaturata 3M,,denaturata 5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
417.0700073,40.37913513,417.0700073,55.32775879,417.0700073,65.08365631,417.0700073,166.8957825,417.0700073,142.9317474,417.0700073,175.1764832,
418,40.67702484,418,54.43217087,418,63.28059769,418,166.5296936,418,133.7567596,418,165.5612793,
419.0700073,38.52941132,419.0700073,51.93249893,419.0700073,57.94556808,419.0700073,156.2354889,419.0700073,128.3535614,419.0700073,162.5018005,
420,37.2846489,420,50.52215576,420,57.89096069,420,149.287384,420,124.7035446,420,158.3624725,
421.0599976,33.71515274,421.0599976,46.97263718,421.0599976,55.12214279,421.0599976,147.9872589,421.0599976,116.5421143,421.0599976,147.9640503,
421.9599915,33.05784988,421.9599915,45.8126297,421.9599915,52.72727203,421.9599915,141.2947845,421.9599915,113.0245895,421.9599915,146.5763092,
423.0299988,32.10837936,423.0299988,42.75469589,423.0299988,49.57806015,423.0299988,135.0623016,423.0299988,108.7736893,423.0299988,140.2565918,
423.9299927,30.18558884,423.9299927,40.40459824,423.9299927,50.02922058,423.9299927,131.6479187,423.9299927,110.8904343,423.9299927,134.4683075,
425,30.57615471,425,40.33602905,425,48.29040909,425,127.1909027,425,105.558197,425,131.4849243,
426.0599976,30.01876259,426.0599976,39.74726105,426.0599976,47.17037964,426.0599976,123.0624466,426.0599976,98.97593689,426.0599976,123.4701233,
426.9599915,26.90963554,426.9599915,36.73400497,426.9599915,44.53145218,426.9599915,118.5448761,426.9599915,95.64922333,426.9599915,120.9459457,
428.0299988,27.29502678,428.0299988,37.71582031,428.0299988,41.72628784,428.0299988,114.5015564,428.0299988,90.79735565,428.0299988,117.6022339,
428.9299927,25.63835335,428.9299927,34.7587738,428.9299927,41.9606781,428.9299927,107.437233,428.9299927,89.34988403,428.9299927,116.0631866,
430,25.03770828,430,32.33128357,430,39.00775146,430,103.4226227,430,85.54078674,430,107.0313339,
431.0700073,23.83966255,431.0700073,35.11584473,431.0700073,37.81882477,431.0700073,98.71617889,431.0700073,81.10359955,431.0700073,103.6850052,
432,23.69719505,432,30.98563385,432,36.00238419,432,95.05947876,432,77.74761963,432,100.2163315,
433.0700073,21.02068329,433.0700073,29.15545845,433.0700073,34.98878098,433.0700073,92.17321777,433.0700073,79.25217438,433.0700073,96.90637207,
434,20.60534477,434,28.96273041,434,33.23316193,434,87.56376648,434,74.02867126,434,94.17923737,
435.0700073,19.0451355,435.0700073,25.46425056,435.0700073,31.6650238,435.0700073,84.10810089,435.0700073,69.32271576,435.0700073,88.34775543,
436,18.88840675,436,25.51553345,436,32.42542267,436,83.09104919,436,66.09236908,436,82.10135651,
437.0700073,18.29268265,437.0700073,25.10803604,437.0700073,30.49804115,437.0700073,78.25032806,437.0700073,64.2305603,437.0700073,80.83986664,
438,18.75030518,438,24.67159653,438,29.29929543,438,74.78930664,438,63.06085587,438,77.24359131,
439.0700073,17.05511284,439.0700073,23.98962593,439.0700073,27.85954666,439.0700073,73.38889313,439.0700073,57.96516037,439.0700073,76.67765045,
440,15.77337837,440,21.89780998,440,27.08400917,440,69.03936768,440,58.2733078,440,73.75052643,
441.0599976,16.07480621,441.0599976,21.13244057,441.0599976,24.75738907,441.0599976,66.16078949,441.0599976,55.54734039,441.0599976,70.67677307,
441.9599915,14.68853855,441.9599915,21.8065033,441.9599915,24.40841103,441.9599915,63.38977814,441.9599915,52.53754425,441.9599915,67.20108795,
443.0299988,15.89759445,443.0299988,20.59677887,443.0299988,23.55718803,443.0299988,61.05685043,443.0299988,50.43280029,443.0299988,66.33879852,
443.9299927,14.92935276,443.9299927,19.55711746,443.9299927,22.62202644,443.9299927,59.36669159,443.9299927,48.06402206,443.9299927,62.0344696,
445,14.14442825,445,19.464571,445,23.16431236,445,58.04385376,445,46.54320145,445,61.05996704,
446.0599976,13.01362801,446.0599976,18.53495407,446.0599976,21.76973343,446.0599976,54.7246933,446.0599976,43.07491684,446.0599976,55.52277374,
446.9599915,12.08707047,446.9599915,17.20821762,446.9599915,20.55256081,446.9599915,51.14319992,446.9599915,43.52923965,446.9599915,55.45088959,
448.0299988,12.59700871,448.0299988,16.15686417,448.0299988,19.74855423,448.0299988,52.10706329,448.0299988,39.01537704,448.0299988,52.60258865,
448.9299927,12.90764427,448.9299927,15.29085922,448.9299927,18.7362442,448.9299927,48.57893753,448.9299927,40.60763931,448.9299927,52.00298691,
450,12.10103512,450,14.93210125,450,18.4654007,450,46.74708176,450,37.30889511,450,49.30080414,

Sample2,
Sample2
Collection Time: 4/15/2019 10:07:55 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   750
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/15/2019 8:21:41 AM
Method Modifications:
Overlayed Graphs Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell Changer Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell2 Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/15/2019 9:29:24 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 600.00, New: 450.00
PMT Volts Changed: 4/15/2019 10:06:37 AM, Old:600, New:700
Emission PMT (V): Changed: 4/15/2019 10:06:37 AM, Old: 600, New: 700
PMT Volts Changed: 4/15/2019 10:07:42 AM, Old:700, New:750
Emission PMT (V): Changed: 4/15/2019 10:07:42 AM, Old: 700, New: 750
End Method Modifications

denaturata 1M,
denaturata 1M
Collection Time: 4/15/2019 10:16:26 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   750
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : C:\Documents and Settings\tesisti\Desktop\LAB 2018-2019\gruppo 3\denaturazione 0M.FBSW
Date/Time stamp: 4/15/2019 10:09:21 AM
Method Modifications:
Overlayed Graphs Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell Changer Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell2 Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/15/2019 9:29:24 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 600.00, New: 450.00
PMT Volts Changed: 4/15/2019 10:06:37 AM, Old:600, New:700
Emission PMT (V): Changed: 4/15/2019 10:06:37 AM, Old: 600, New: 700
PMT Volts Changed: 4/15/2019 10:07:42 AM, Old:700, New:750
Emission PMT (V): Changed: 4/15/2019 10:07:42 AM, Old: 700, New: 750
Sample2 Changed: 4/15/2019 10:16:26 AM, Old:Sample2, New:denaturata 1M
End Method Modifications

denaturata 2M,
denaturata 2M
Collection Time: 4/15/2019 10:23:38 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   750
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : C:\Documents and Settings\tesisti\Desktop\LAB 2018-2019\gruppo 3\denaturazione 1M.FBSW
Date/Time stamp: 4/15/2019 10:18:04 AM
Method Modifications:
Overlayed Graphs Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell Changer Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell2 Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/15/2019 9:29:24 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 350.00, New: 295.00
