rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
595.8800049	259.6579285	521.039978	3.892748117	551.039978	324.9685974	571.039978	350.1915283	601.0200195	213.7368164	591.0200195	280.9920654	581.0200195	313.8114014	531.039978	27.29369545
596.9099731	249.4027252	521.9400024	4.397188663	551.9400024	329.9162292	571.9400024	335.8469849	602.0499878	206.2927246	592.0499878	271.5004578	582.0499878	303.5742493	531.9400024	30.21721077
597.9400024	241.1255035	522.9799805	5.332324028	552.9799805	332.6573486	572.9799805	325.7557983	602.9400024	201.2663879	592.9400024	263.6131897	582.9400024	292.2144775	532.9799805	35.02907562
598.9699707	234.5641327	524.0200195	6.574975014	554.0200195	333.3841858	574.0200195	310.276062	603.9699707	192.4255371	593.9699707	255.977066	583.9699707	279.3595886	534.0200195	39.86395645
599.8499756	227.9443817	525.0700073	7.308580875	555.0700073	333.2532654	575.0700073	298.7163086	605	185.9681244	595	248.7079773	585	271.3963318	535.0700073	45.13045883
600.8800049	220.2382813	525.9699707	8.710037231	555.9699707	329.2106628	575.9699707	290.7276611	606.0200195	180.101944	596.0200195	238.8442535	586.0200195	262.3045044	535.9699707	50.35782623
601.9099731	212.2698212	527.0100098	10.20232868	557.0100098	325.1148987	577.0100098	277.4789429	607.0499878	171.0607452	597.0499878	231.4078064	587.0499878	252.7115936	537.0100098	56.50657272
602.9400024	203.7752533	528.0499878	11.88840103	558.0499878	320.4718933	578.0499878	265.6237793	607.9400024	167.6293182	597.9400024	224.4346313	587.9400024	246.3459625	538.0499878	63.0041275
603.9699707	197.5973663	528.9500122	13.86625957	558.9500122	314.7697754	578.9500122	257.5617371	608.9699707	161.540451	598.9699707	219.1034546	588.9699707	237.8232727	538.9500122	68.71401978
604.8499756	192.4666595	530	16.20617294	560	308.5065002	580	245.2038574	610	154.4045715	600	209.8774719	590	230.4541931	540	75.71551514
605.8800049	183.693573	531.039978	18.44670105	561.0200195	300.0092773	581.0200195	237.1794891	611.0100098	147.5376587	601.0200195	203.1272888	591.0200195	222.276062	541.039978	82.61773682
606.9099731	175.3814087	531.9400024	20.64099312	562.0499878	293.0000916	582.0499878	230.1151276	612.0200195	143.0052338	602.0499878	197.2041931	592.0499878	214.7851257	541.9400024	88.53411102
607.9400024	171.136734	532.9799805	23.73370934	562.9400024	283.8224487	582.9400024	221.8602905	613.039978	137.716156	602.9400024	191.583786	592.9400024	209.8578033	542.9799805	95.45262909
608.9699707	165.6033936	534.0200195	27.21298981	563.9699707	277.2223206	583.9699707	213.447052	614.0499878	131.1281128	603.9699707	183.3995209	593.9699707	200.5354309	544.0200195	101.3864822
609.8499756	157.3284454	535.0700073	30.76653671	565	269.2101746	585	204.6399078	615.0700073	125.7955551	605	179.4040985	595	197.2279663	545.0700073	107.4424438
610.8599854	151.4584045	535.9699707	34.11477661	566.0200195	259.5464783	586.0200195	197.4387207	615.9400024	121.7918777	606.0200195	170.0254211	596.0200195	189.8668518	545.9699707	112.7511215
611.8800049	146.877533	537.0100098	38.71987534	567.0499878	251.6653595	587.0499878	191.5182648	616.9500122	116.7044678	607.0499878	162.967804	597.0499878	184.2798615	547.0100098	118.073288
612.8900146	141.1497803	538.0499878	42.89327621	567.9400024	243.9466248	587.9400024	188.5464172	617.9699707	111.7878189	607.9400024	157.6858826	597.9400024	178.2380981	548.0499878	122.0480881
613.9099731	134.0996246	538.9500122	47.2159462	568.9699707	235.1528015	588.9699707	182.5738983	618.9799805	105.3875046	608.9699707	152.111496	598.9699707	171.8956604	548.9500122	125.7823868
614.9199829	128.5579681	540	51.86526871	570	225.8791351	590	175.6871796	620	101.5350952	610	146.4432068	600	167.4387054	550	128.7565613
615.9400024	125.0803757	541.039978	56.59161758	571.039978	216.9710693	591.0200195	169.1616821	621.0200195	96.99291992	611.0100098	140.584259	601.0200195	161.0759583	551.039978	131.4591827
