485 V,,510 V,,535 V,,560 V,,585 V,,610 V,,635 V,,660 V,,685 V,,700 V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
573.8800049,14.81626987,573.8800049,24.21743584,573.8800049,41.71299362,573.8800049,63.14127731,573.8800049,92.91587067,573.8800049,145.2732697,573.8800049,208.614212,573.8800049,291.8428955,573.8800049,425.2156372,573.8800049,515.0095825,
574.9199829,14.44994354,574.9199829,23.61445808,574.9199829,39.53479385,574.9199829,60.3859787,574.9199829,89.82885742,574.9199829,138.3030853,574.9199829,197.132019,574.9199829,277.6700439,574.9199829,411.5244446,574.9199829,497.2039185,
575.9699707,13.49637985,575.9699707,22.30303001,575.9699707,38.03637314,575.9699707,58.03973007,575.9699707,86.09598541,575.9699707,134.1780396,575.9699707,189.2518616,575.9699707,267.5999146,575.9699707,394.1957397,575.9699707,479.5485535,
576.8599854,13.28564167,576.8599854,21.17257118,576.8599854,36.87504959,576.8599854,56.21475983,576.8599854,82.33422852,576.8599854,128.4849548,576.8599854,182.5853882,576.8599854,256.1090698,576.8599854,379.6244202,576.8599854,463.026001,
577.9099731,12.58324242,577.9099731,20.63531876,577.9099731,35.94569016,577.9099731,53.69567108,577.9099731,79.5750351,577.9099731,121.9994125,577.9099731,173.9167023,577.9099731,247.9495697,577.9099731,365.2638855,577.9099731,447.65271,
578.9500122,12.31459236,578.9500122,19.54476929,578.9500122,33.93727875,578.9500122,51.4995575,578.9500122,76.59155273,578.9500122,118.7173004,578.9500122,168.6927032,578.9500122,235.4721527,578.9500122,350.7614136,578.9500122,425.6837769,
579.8499756,11.57140541,579.8499756,19.00152016,579.8499756,32.57531738,579.8499756,49.13489151,579.8499756,73.00753021,579.8499756,114.3128433,579.8499756,162.5163879,579.8499756,229.026535,579.8499756,338.6717834,579.8499756,408.0301514,
580.8800049,11.29877663,580.8800049,18.21405602,580.8800049,31.36182594,580.8800049,47.71308899,580.8800049,70.49064636,580.8800049,109.0141296,580.8800049,155.1871948,580.8800049,221.8015747,580.8800049,324.6687927,580.8800049,396.0186462,
581.9099731,10.87497902,581.9099731,17.90633583,581.9099731,29.7492218,581.9099731,46.15016556,581.9099731,68.30420685,581.9099731,105.6808548,581.9099731,149.3961639,581.9099731,211.7918243,581.9099731,309.7427979,581.9099731,379.5083008,
582.9400024,10.36352634,582.9400024,17.13044548,582.9400024,29.17968178,582.9400024,44.54520035,582.9400024,65.62600708,582.9400024,101.7233582,582.9400024,145.3258057,582.9400024,204.943573,582.9400024,302.9345093,582.9400024,366.5684509,
583.9699707,10.18241882,583.9699707,16.32302475,583.9699707,28.08921051,583.9699707,42.25523758,583.9699707,63.10366821,583.9699707,96.86528015,583.9699707,139.7109833,583.9699707,194.9693146,583.9699707,289.7120667,583.9699707,351.0803223,
584.8499756,9.52455616,584.8499756,15.80705643,584.8499756,26.95747948,584.8499756,40.89054108,584.8499756,61.43870163,584.8499756,93.98912048,584.8499756,135.1229248,584.8499756,190.9836731,584.8499756,275.693573,584.8499756,339.5167542,
585.8800049,9.454949379,585.8800049,14.98063564,585.8800049,26.22738457,585.8800049,39.73936462,585.8800049,59.5075531,585.8800049,91.20201874,585.8800049,130.2376404,585.8800049,185.6821442,585.8800049,276.7189941,585.8800049,330.2510376,
